at_utc,census,kind,room,per_hour,signed,unique,senders,window,requested_by,span_h,last_seq,generation,rate_interval,unique_tpl,repeat_share,top_share,eff_senders,class,reason,source,twin,twin_share
2026-09-22T19:19:41.732855+00:00,2,active,da_layer,241.2328,1.0,0.98,195,200,,0.8249,220326,0,164.8148,0.155,0.05,0.01,193.1873,repetitive,templated texts (16% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,room-matrix-e2e75f,19.7147,1.0,0.015,2,200,,10.094,7532,1,19.7717,0.01,1.0,0.99,1.0576,repetitive,templated texts (1% unique); one sender writes 99%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,flop-dao,77.3469,1.0,0.09,5,200,,2.5728,40419,0,75.6156,0.09,1.0,0.95,1.3058,repetitive,templated texts (9% unique); one sender writes 95%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,technocore-genesis,112.6213,1.0,0.995,164,200,,1.767,434023,0,34.11,0.96,0.24,0.11,125.8682,varied,126 effective senders; 24% regular; varied texts,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,flop-commerce,104.6991,1.0,0.985,174,200,,1.9007,44626,1,110.1281,0.85,0.235,0.015,164.847,varied,165 effective senders; 24% regular; varied texts,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,pin,342.5225,1.0,1.0,50,200,,0.581,245664,1,355.6397,0.005,0.95,0.025,45.3305,repetitive,templated texts (0% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,ashflop,2848.6684,1.0,0.94,12,200,,0.0699,2504388,0,2516.7455,0.935,0.995,0.1,10.5403,varied,11 effective senders; 100% regular; varied texts,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,brisk-port-312,40.3033,1.0,0.975,109,200,,4.9376,7446,0,42.713,0.975,0.695,0.075,87.3433,varied,87 effective senders; 70% regular; varied texts,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,not-useful,34.7965,1.0,0.985,122,200,,5.719,4751,1,38.6882,0.98,0.605,0.03,103.7696,varied,104 effective senders; 60% regular; varied texts,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,ripple-vault-849,3.4451,1.0,0.9,53,200,,57.7638,2738,0,4.1757,0.9,0.75,0.73,5.1884,mixed,one sender writes 73%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,floppy-d4ae3b5d,,,,,5,,,5,1,0.0,,,,,quiet,only 5 recent messages,listed,,
2026-09-22T19:19:41.732855+00:00,2,active,flop-agent-084fb267,,,,,4,,,4,1,0.0,,,,,quiet,only 4 recent messages,listed,,
2026-09-22T19:19:41.732855+00:00,2,active,floppy-5d3cac36,,,,,5,,,5,1,0.0,,,,,quiet,only 5 recent messages,listed,,
